,TypeName,make,ModelText,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText
590,911 Turbo,PORSCHE,911,rot,Coupé,3600,Zuzwil,309 g/km,Occasion,null,12.9 l/100km,2,Allrad,1,2002,Benzin,420,beige,29000,"""Ab MFK""",4,Automatik-Getriebe
591,E 420 Avantgarde,MERCEDES-BENZ,E 420,rot,Limousine,4196,Zuzwil,326 g/km,Occasion,null,14.3 l/100km,4,Hinterradantrieb,5,1996,Benzin,279,grau,132600,"""Ab MFK""",5,Automat
592,A8 4.2 quattro,AUDI,A8,rot,Limousine,4172,Zuzwil,322 g/km,Occasion,null,13.5 l/100km,4,Allrad,1,1999,Benzin,300,schwarz,69900,"""Ab MFK""",5,Automat
593,F430,FERRARI,F430,rot,Coupé,4308,Zuzwil,420 g/km,Occasion,G,18.3 l/100km,2,Hinterradantrieb,3,2006,Benzin,486,rot,4400,"""Ab MFK""",2,Automatik-Getriebe
594,B 200,DODGE,null,rot,Kompaktvan / Minivan,5893,Zuzwil,null,Occasion,null,null,0,Hinterradantrieb,7,1979,Benzin,0,mehrfarbig,13800,"""Ab MFK""",7,Automat
595,RS6 Avant 5.0 V10 quattro,AUDI,RS6,rot,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,9,2010,Benzin,580,null,38000,"""Ab MFK""",5,Automat
596,M3,BMW,M3,rot,Coupé,3246,Zuzwil,323 g/km,Occasion,G,13.4 l/100km,2,Hinterradantrieb,9,2001,Benzin,343,schwarz,127800,"""Ab MFK""",5,Schaltgetriebe manuell
597,A6 Avant 2.7 T Ambition,AUDI,A6,rot,Kombi,2671,Zuzwil,254 g/km,Occasion,null,10.6 l/100km,5,Vorderradantrieb,9,2000,Benzin,230,schwarz,45000,"""Ab MFK"", ""Tuning""",5,Schaltgetriebe manuell
598,Cayenne Turbo Techart Magnum Kit,PORSCHE,CAYENNE,anthrazit,SUV / Geländewagen,4806,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,5,Allrad,1,2010,Benzin,500,schwarz,2900,"""Ab MFK""",5,Automat sequentiell
599,RS6 Avant quattro,AUDI,RS6,blau,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,5,2003,Benzin,450,schwarz,43400,"""Ab MFK""",5,Automat sequentiell
600,S-Type 4.0 V8,JAGUAR,S-TYPE,rot,Limousine,3996,Zuzwil,299 g/km,Occasion,G,12.5 l/100km,4,Hinterradantrieb,1,2000,Benzin,276,beige,44200,"""Ab MFK""",5,Automat
601,911 Turbo S,PORSCHE,911,rot mét.,Coupé,3800,Zuzwil,227 g/km,Neu,G,9.7 l/100km,2,Allrad,1,2015,Benzin,560,schwarz,100,"""Ab MFK""",4,Automatisiertes Schaltgetriebe
602,1000 / Publica,TOYOTA,null,rot mét.,Limousine,993,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1977,Benzin,47,mehrfarbig,78000,"""Ab MFK""",5,Schaltgetriebe manuell
603,A8 4.2 quattro,AUDI,A8,rot mét.,Limousine,4172,Zuzwil,null,Occasion,null,13.2 l/100km,4,Allrad,9,1997,Benzin,300,null,33800,"""Ab MFK""",5,Automat sequentiell
604,XKR S/C Convertible,JAGUAR,XK,rot mét.,Cabriolet,3996,Zuzwil,305 g/km,Occasion,G,12.7 l/100km,2,Hinterradantrieb,4,2002,Benzin,363,mehrfarbig,77600,"""Ab MFK""",4,Automat
605,A4 Avant 2.8 q.Ambition,AUDI,A4,rot mét.,Kombi,2771,Zuzwil,null,Occasion,null,10.4 l/100km,5,Allrad,4,1998,Benzin,193,schwarz,196300,"""Ab MFK""",5,Automatik-Getriebe
606,E 50 AMG Avantgarde,MERCEDES-BENZ,E 50 AMG,rot mét.,Limousine,4973,Zuzwil,null,Occasion,null,13.5 l/100km,4,Hinterradantrieb,11,1996,Benzin,347,schwarz,33700,"""Ab MFK""",5,Automat
607,X5 4.8is,BMW,X5,rot mét.,SUV / Geländewagen,4799,Zuzwil,324 g/km,Occasion,G,13.5 l/100km,5,Allrad,8,2004,Benzin,360,schwarz,61900,"""Ab MFK""",5,Automat sequentiell
608,RS6 Avant quattro,AUDI,RS6,rot mét.,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,9,2002,Benzin,450,grau,71900,"""Ab MFK""",5,Automat sequentiell
609,135i,BMW,135,schwarz,Cabriolet,2979,Zuzwil,225 g/km,Occasion,G,9.4 l/100km,2,Hinterradantrieb,10,2008,Benzin,306,braun,25700,"""Ab MFK""",4,Automat sequentiell
610,456M GT,FERRARI,456,blau,Coupé,5474,Zuzwil,495 g/km,Occasion,G,22.0 l/100km,2,Hinterradantrieb,3,2000,Benzin,442,grau,46500,"""Ab MFK""",4,Schaltgetriebe manuell
611,CLK 55 AMG Avantgarde,MERCEDES-BENZ,CLK 55 AMG,schwarz,Cabriolet,5439,Zuzwil,295 g/km,Occasion,G,12.3 l/100km,2,Hinterradantrieb,2,2003,Benzin,367,mehrfarbig,92300,"""Ab MFK"", ""Direkt-/Parallelimport""",4,Automat
612,SL 55 AMG,MERCEDES-BENZ,SL 55 AMG,schwarz,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,7,2003,Benzin,500,schwarz,43300,"""Ab MFK""",2,Automat
613,S 600,MERCEDES-BENZ,S 600,schwarz,Coupé,5984,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1995,Benzin,394,braun,62000,"""Ab MFK""",4,Automat
614,2700VA,RENAULT,ALPINE,schwarz,Coupé,0,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,8,1979,Benzin,150,null,36900,"""Ab MFK""",4,Schaltgetriebe
615,2.0 16V GTI-R Rallye,NISSAN,SUNNY,schwarz,Limousine,1997,Zuzwil,null,Occasion,null,null,3,Allrad,1,1992,null,250,schwarz,98000,"""Ab MFK""",0,Schaltgetriebe
616,2000 Bertone,ALFA ROMEO,GTV,schwarz,Coupé,1961,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,2,1972,Benzin,130,schwarz,18400,null,4,Schaltgetriebe
617,SL 500,MERCEDES-BENZ,SL 500,schwarz,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,9,1991,Benzin,320,schwarz,55300,"""Ab MFK""",2,Automat
618,Gallardo LP570-4 Coupé SL,LAMBORGHINI,GALLARDO,schwarz,Coupé,5204,Zuzwil,325 g/km,Occasion,G,13.7 l/100km,2,Allrad,1,2011,Benzin,570,schwarz,19300,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
619,Ibiza 1.9 TDI FR,SEAT,IBIZA,schwarz,Kleinwagen,1896,Zuzwil,138 g/km,Occasion,D,5.1 l/100km,3,Vorderradantrieb,8,2005,Diesel,130,anthrazit,132200,"""Ab MFK""",5,Schaltgetriebe manuell
620,S40 2.0 T,VOLVO,S40,schwarz,Limousine,1948,Zuzwil,236 g/km,Occasion,null,9.9 l/100km,4,Vorderradantrieb,5,1999,Benzin,160,anthrazit,107000,"""Ab MFK""",5,Automat
621,CLS 500,MERCEDES-BENZ,CLS 500,blau,Limousine,4966,Zuzwil,290 g/km,Occasion,G,12.1 l/100km,4,Hinterradantrieb,12,2004,Benzin,306,schwarz,51000,"""Ab MFK""",4,Automat sequentiell
622,R8 Spyder 5.2,AUDI,R8,schwarz,Cabriolet,5204,Zuzwil,332 g/km,Occasion,G,14.2 l/100km,2,Allrad,4,2010,Benzin,525,schwarz,37000,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
623,500 SE,MERCEDES-BENZ,500,schwarz,Limousine,4971,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,7,1991,Benzin,320,grau,156300,"""Ab MFK""",5,Automat
624,Grand Cherokee 5.2 Ltd.,JEEP,Grand Cherokee,schwarz,SUV / Geländewagen,5213,Zuzwil,null,Occasion,null,null,5,Allrad,2,1995,Benzin,212,beige,133500,"""Ab MFK""",5,Automat
625,F355 Spider,FERRARI,F355,schwarz,Cabriolet,3496,Zuzwil,470 g/km,Occasion,null,20.8 l/100km,2,Hinterradantrieb,7,1998,Benzin,380,schwarz,34600,"""Ab MFK""",2,Schaltgetriebe manuell
626,S6 Avant quattro 4.2,AUDI,S6,schwarz,Kombi,4170,Zuzwil,353 g/km,Occasion,null,14.9 l/100km,5,Allrad,6,1997,Benzin,290,beige,91900,"""Ab MFK""",5,Automat
627,M5,BMW,M5,schwarz,Limousine,4395,Zuzwil,231 g/km,Occasion,G,9.9 l/100km,4,Hinterradantrieb,9,2013,Benzin,575,schwarz,15300,"""Ab MFK""",5,Automatisiertes Schaltgetriebe
628,Gallardo LP560-4 Coupé,LAMBORGHINI,GALLARDO,schwarz,Coupé,5204,Zuzwil,325 g/km,Occasion,G,13.7 l/100km,2,Allrad,6,2008,Benzin,560,schwarz,28500,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
629,SL 600,MERCEDES-BENZ,SL 600,schwarz,Cabriolet,5513,Zuzwil,346 g/km,Occasion,G,14.4 l/100km,2,Hinterradantrieb,6,2003,Benzin,500,schwarz,45300,"""Ab MFK""",2,Automat
630,C 180 Esprit,MERCEDES-BENZ,C 180,schwarz,Limousine,1799,Zuzwil,218 g/km,Occasion,null,9.2 l/100km,4,Hinterradantrieb,11,1997,Benzin,122,schwarz,118200,"""Ab MFK""",5,Schaltgetriebe manuell
631,Murciélago 6.2 Coupé,LAMBORGHINI,MURCIÉLAGO,schwarz,Coupé,6192,Zuzwil,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,7,2005,Benzin,580,schwarz,49800,"""Ab MFK"", ""Tuning""",2,Automatisiertes Schaltgetriebe
632,SL 250 Pagode,MERCEDES-BENZ,null,blau,Cabriolet,2496,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1967,Benzin,150,beige,47700,"""Ab MFK""",2,Schaltgetriebe
633,Murciélago LP640-4 Cpé,LAMBORGHINI,MURCIÉLAGO,schwarz,Coupé,6496,Porrentruy,495 g/km,Occasion,G,21.3 l/100km,2,Allrad,4,2011,Benzin,641,schwarz,7890,"""Ab MFK""",2,Schaltgetriebe manuell
634,X5 4.4i,BMW,X5,schwarz,SUV / Geländewagen,4398,Zuzwil,335 g/km,Occasion,G,13.9 l/100km,5,Allrad,5,2003,Benzin,286,grau,66800,"""Ab MFK""",5,Automat sequentiell
635,S8 4.2 quattro,AUDI,S8,schwarz,Limousine,4172,Zuzwil,331 g/km,Occasion,null,13.8 l/100km,4,Allrad,3,2001,Benzin,360,schwarz,49300,"""Ab MFK""",5,Automatik-Getriebe
636,E 500 Avantgarde,MERCEDES-BENZ,E 500,schwarz,Kombi,4966,Zuzwil,284 g/km,Occasion,G,11.9 l/100km,5,Hinterradantrieb,4,2004,Benzin,306,null,123300,"""Ab MFK""",5,Automat sequentiell
637,750iL,BMW,750,schwarz,Limousine,5377,Zuzwil,338 g/km,Occasion,null,14.2 l/100km,4,Hinterradantrieb,1,1995,Benzin,327,schwarz,111900,"""Ab MFK""",5,Automat
638,330Ci,BMW,330,schwarz,Cabriolet,2979,Zuzwil,237 g/km,Occasion,G,9.9 l/100km,2,Hinterradantrieb,5,2001,Benzin,231,schwarz,65300,"""Ab MFK""",4,Schaltgetriebe manuell
639,320i Touring,BMW,320,schwarz,Kombi,1990,Zuzwil,215 g/km,Occasion,null,9.0 l/100km,5,Hinterradantrieb,1,1996,Benzin,150,schwarz,79800,"""Ab MFK""",5,Schaltgetriebe manuell
640,DAUPHINE GORDINI,RENAULT,null,schwarz,Limousine,845,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,7,1960,Benzin,33,beige,177000,"""Ab MFK""",5,Schaltgetriebe
641,525xi,BMW,525,schwarz,Limousine,2497,Zuzwil,232 g/km,Occasion,G,9.6 l/100km,4,Allrad,1,2007,Benzin,218,schwarz,99800,"""Ab MFK""",5,Schaltgetriebe manuell
642,II Coupé,ROLLS-ROYCE,CORNICHE,schwarz,Coupé,0,Basel,null,Oldtimer,null,null,0,null,7,1980,Benzin,0,braun,32000,null,4,null
643,Range Rover Sport 4.2 V8 SC,LAND ROVER,RANGE ROVER SPORT,blau,SUV / Geländewagen,4197,Zuzwil,374 g/km,Occasion,G,15.9 l/100km,5,Allrad,6,2006,Benzin,390,schwarz,49900,null,5,Automat
644,null,FERRARI,F40 / F50,schwarz,Coupé,2935,Sursee,null,Occasion,null,null,2,Hinterradantrieb,2,1989,null,478,null,7000,null,2,Schaltgetriebe
645,1600 S,RENAULT,Alpine A110,schwarz,Coupé,1605,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,2,1972,Benzin,124,schwarz,68000,"""Ab MFK""",2,Schaltgetriebe
646,CLS 63 AMG,MERCEDES-BENZ,CLS 63 AMG,schwarz,Limousine,5461,Zuzwil,231 g/km,Occasion,G,9.9 l/100km,4,Hinterradantrieb,9,2011,Benzin,525,beige,69200,"""Ab MFK""",4,Automatisiertes Schaltgetriebe
647,M3,BMW,M3,schwarz,Limousine,2301,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,10,1987,Benzin,195,schwarz,88000,null,4,Schaltgetriebe manuell
648,CL 600,MERCEDES-BENZ,CL 600,schwarz,Coupé,5513,Zuzwil,353 g/km,Occasion,G,14.7 l/100km,2,Hinterradantrieb,11,2003,Benzin,500,schwarz,41100,"""Ab MFK""",4,Automat
649,V8 4.0,DAIMLER,V8,schwarz,Limousine,3996,Zuzwil,285 g/km,Occasion,G,11.9 l/100km,4,Hinterradantrieb,5,1998,Benzin,284,beige,100,"""Ab MFK""",5,Automat
650,530i Touring,BMW,530,schwarz,Kombi,2979,Zuzwil,238 g/km,Occasion,null,9.9 l/100km,5,Hinterradantrieb,5,2001,Benzin,231,null,120900,"""Ab MFK""",5,Automatik-Getriebe
651,528i Touring,BMW,528,schwarz,Kombi,2793,Zuzwil,230 g/km,Occasion,G,9.7 l/100km,5,Hinterradantrieb,4,1997,Benzin,193,schwarz,38000,"""Ab MFK""",5,Schaltgetriebe manuell
652,456M GTA,FERRARI,456,schwarz,Coupé,5474,Zuzwil,520 g/km,Occasion,G,22.3 l/100km,2,Hinterradantrieb,12,1999,Benzin,442,beige,18200,"""Ab MFK""",4,Automat
653,Continental R Coupé,BENTLEY,CONTINENTAL,schwarz,Coupé,6749,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1994,Benzin,360,beige,60000,"""Ab MFK""",4,Automat
654,Murciélago LP640-4 Cpé,LAMBORGHINI,MURCIÉLAGO,blau,Coupé,6496,Zuzwil,495 g/km,Occasion,G,21.3 l/100km,2,Allrad,3,2007,Benzin,641,schwarz,33000,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
655,SL 500,MERCEDES-BENZ,SL 500,schwarz,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,2,1992,Benzin,320,schwarz,129700,"""Ab MFK""",0,Automat
656,V6,RENAULT,ALPINE,schwarz,Coupé,2663,Zuzwil,null,Occasion,null,null,2,null,8,1983,Benzin,150,beige,128500,"""Ab MFK""",4,Schaltgetriebe
657,Sierra 2.0i Cosworth 4x4,FORD,SIERRA,schwarz,Limousine,1993,Zuzwil,null,Occasion,null,null,4,Allrad,9,1990,Benzin,220,schwarz,164400,"""Ab MFK""",5,Schaltgetriebe manuell
658,RS4 Avant 4.2 V8 quattro,AUDI,RS4,schwarz,Kombi,4163,Zuzwil,326 g/km,Occasion,G,13.6 l/100km,5,Allrad,8,2006,Benzin,420,schwarz,117400,"""Ab MFK""",5,Schaltgetriebe manuell
659,911 Carrera Jubilé 40,PORSCHE,911,schwarz,Coupé,3596,Zuzwil,274 g/km,Occasion,G,11.3 l/100km,2,Hinterradantrieb,3,2004,Benzin,345,schwarz,61400,"""Ab MFK""",4,Schaltgetriebe manuell
660,Phaeton 6.0 W12 4Motion,VW,PHAETON,schwarz,Limousine,5998,Zuzwil,374 g/km,Occasion,G,15.6 l/100km,4,Allrad,11,2002,Benzin,420,grau,15900,"""Ab MFK""",5,Automat sequentiell
661,SL 320,MERCEDES-BENZ,SL 320,schwarz,Cabriolet,3199,Zuzwil,317 g/km,Occasion,null,13.4 l/100km,2,Hinterradantrieb,1,1999,Benzin,231,schwarz,70900,"""Ab MFK""",2,Automat
662,911 GT3 RS,PORSCHE,911,schwarz,Coupé,3996,Sursee,326 g/km,Occasion,G,13.8 l/100km,2,Hinterradantrieb,11,2011,Benzin,500,rot,6300,null,2,Schaltgetriebe manuell
663,E 63 AMG,MERCEDES-BENZ,E 63 AMG,schwarz,Limousine,6209,Zuzwil,295 g/km,Occasion,G,12.6 l/100km,4,Hinterradantrieb,3,2010,Benzin,525,schwarz,7400,"""Ab MFK""",5,Automat sequentiell
664,911 Carrera 4,PORSCHE,911,schwarz,Coupé,3387,Zuzwil,null,Occasion,null,11.8 l/100km,2,Allrad,5,1999,Benzin,300,blau,77800,"""Ab MFK""",4,Automatik-Getriebe
665,RS4 Avant quattro,AUDI,RS4,blau,Kombi,2671,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,5,Allrad,3,2001,Benzin,380,weiss,50000,"""Ab MFK""",5,Schaltgetriebe manuell
666,SL 600,MERCEDES-BENZ,SL 600,schwarz,Cabriolet,5984,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,9,1995,Benzin,394,beige,75200,"""Ab MFK""",0,Automat
667,540i,BMW,540,schwarz,Limousine,4398,Zuzwil,292 g/km,Occasion,null,12.1 l/100km,4,Hinterradantrieb,11,1998,Benzin,286,schwarz,93000,"""Ab MFK""",5,Automatik-Getriebe
668,1300S Trabusa,TRABANT,null,schwarz,Limousine,1299,Zuzwil,null,Occasion,null,null,0,Hinterradantrieb,1,2009,Benzin,0,schwarz,999,"""Rennwagen""",0,Schaltgetriebe
669,Leon 2.0 TSI FR,SEAT,LEON,schwarz,Limousine,1984,Zuzwil,190 g/km,Occasion,G,7.9 l/100km,5,Vorderradantrieb,1,2009,Benzin,200,anthrazit,53300,"""Ab MFK""",5,Schaltgetriebe manuell
670,E-Type III,JAGUAR,E,schwarz,Cabriolet,5343,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1974,Benzin,269,schwarz,49200,"""Ab MFK""",2,Automat
671,Aventador LP700-4 Rds,LAMBORGHINI,AVENTADOR,schwarz,Cabriolet,6498,Zuzwil,370 g/km,Neu,G,16.0 l/100km,2,Allrad,3,2015,Benzin,700,schwarz,90,"""Ab MFK"", ""Direkt-/Parallelimport""",2,Automatisiertes Schaltgetriebe
672,S 55 AMG,MERCEDES-BENZ,S 55 AMG,schwarz,Limousine,5439,Zuzwil,317 g/km,Occasion,G,13.2 l/100km,4,Hinterradantrieb,3,2003,Benzin,500,schwarz,121900,"""Ab MFK""",5,Automat
673,X5 4.4i,BMW,X5,schwarz,SUV / Geländewagen,4398,Zuzwil,335 g/km,Occasion,G,13.9 l/100km,5,Allrad,12,2000,Benzin,286,grau,3600,"""Ab MFK""",5,Automat sequentiell
674,Quattroporte 4.2,MASERATI,QUATTROPORTE,schwarz,Limousine,4244,Zuzwil,null,Occasion,G,15.8 l/100km,4,Hinterradantrieb,7,2004,Benzin,400,blau,56600,"""Ab MFK""",5,Automatisiertes Schaltgetriebe
675,RS6 Avant quattro,AUDI,RS6,schwarz,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,10,2003,Benzin,450,schwarz,40900,"""Ab MFK""",5,Automat sequentiell
676,Alpine A310 V6,RENAULT,ALPINE,blau,Coupé,2664,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1980,Benzin,150,mehrfarbig,108000,"""Ab MFK""",4,Schaltgetriebe manuell
677,RS6 Avant 5.0 V10 quattro,AUDI,RS6,schwarz,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,3,2009,Benzin,700,schwarz,29500,"""Ab MFK""",5,Automat
678,Cayenne Turbo,PORSCHE,CAYENNE,schwarz,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,8,2003,Benzin,450,beige,114000,"""Ab MFK""",5,Automat sequentiell
679,760i L,BMW,760,schwarz,Limousine,5972,Zuzwil,330 g/km,Occasion,G,13.6 l/100km,4,Hinterradantrieb,1,2003,Benzin,445,beige,94500,"""Ab MFK""",5,Automat sequentiell
680,B 200 T Sailing Edition,MERCEDES-BENZ,B 200,schwarz,Kompaktvan / Minivan,2035,Zuzwil,195 g/km,Occasion,G,8.1 l/100km,5,Vorderradantrieb,8,2006,Benzin,193,null,60500,"""Ab MFK""",5,Schaltgetriebe manuell
681,Quattroporte 4.2,MASERATI,QUATTROPORTE,schwarz,Limousine,4244,Zuzwil,370 g/km,Occasion,G,15.8 l/100km,4,Hinterradantrieb,12,2006,Benzin,400,schwarz,9800,"""Ab MFK""",5,Automatisiertes Schaltgetriebe
682,335i,BMW,335,schwarz,Cabriolet,2979,Zuzwil,238 g/km,Occasion,G,9.9 l/100km,2,Hinterradantrieb,7,2007,Benzin,306,schwarz,77500,"""Ab MFK""",4,Schaltgetriebe manuell
683,SLK 55 AMG,MERCEDES-BENZ,SLK 55 AMG,schwarz,Cabriolet,5439,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,2,Hinterradantrieb,4,2005,Benzin,360,schwarz,42500,"""Ab MFK""",2,Automat sequentiell
684,Cayenne Turbo,PORSCHE,CAYENNE,schwarz,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,10,2005,Benzin,450,beige,64500,"""Ab MFK""",5,Automat sequentiell
685,Arnage Red Label,BENTLEY,ARNAGE,schwarz,Limousine,6761,Zuzwil,456 g/km,Occasion,G,19.2 l/100km,4,Hinterradantrieb,2,2000,Benzin,405,braun,111600,"""Ab MFK""",5,Automat
686,TTS Cpé 2.0 TFSI quattro,AUDI,TT,schwarz,Coupé,1984,Zuzwil,188 g/km,Occasion,G,7.9 l/100km,3,Allrad,8,2008,Benzin,272,schwarz,29300,"""Ab MFK"", ""Tuning""",4,Automatisiertes Schaltgetriebe
687,SL 600,MERCEDES-BENZ,SL 600,blau,Cabriolet,5513,Zuzwil,346 g/km,Occasion,G,14.4 l/100km,2,Hinterradantrieb,6,2003,Benzin,600,schwarz,77700,"""Ab MFK""",2,Automat
688,CL 600,MERCEDES-BENZ,CL 600,schwarz,Coupé,5786,Zuzwil,321 g/km,Occasion,G,13.4 l/100km,2,Hinterradantrieb,6,2000,Benzin,367,schwarz,103800,"""Ab MFK""",4,Automat
689,R5 1400 Alpine Turbo,RENAULT,R5,schwarz,Kleinwagen,1397,Zuzwil,null,Occasion,null,null,3,Vorderradantrieb,12,1983,Benzin,108,braun,159700,"""Ab MFK""",4,Schaltgetriebe manuell
690,ML 500,MERCEDES-BENZ,ML 500,schwarz,SUV / Geländewagen,4966,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,2,2002,Benzin,292,grau,118000,"""Ab MFK""",5,Automat
691,RS 2600,FORD,CAPRI,schwarz,Coupé,2632,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,3,1973,Benzin,150,schwarz,36100,null,4,Schaltgetriebe
692,E 50 AMG Avantgarde,MERCEDES-BENZ,E 50 AMG,schwarz,Limousine,4973,Zuzwil,315 g/km,Occasion,null,13.5 l/100km,4,Hinterradantrieb,3,1997,Benzin,347,schwarz,70700,"""Ab MFK""",5,Automat
693,M5,BMW,M5,schwarz,Limousine,4999,Zuzwil,357 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,5,2005,Benzin,503,weiss,21700,"""Ab MFK""",5,Automatisiertes Schaltgetriebe
694,B10 4.6 S.Tronic,BMW-ALPINA,5 SERIES,schwarz,Limousine,4619,Zuzwil,355 g/km,Occasion,G,14.9 l/100km,4,Hinterradantrieb,10,1998,Benzin,347,schwarz,94400,"""Ab MFK""",5,Automat
695,Escort 2.0i RS Cosworth,FORD,ESCORT,schwarz,Limousine,1992,Zuzwil,null,Occasion,null,null,3,Allrad,4,1994,Benzin,220,mehrfarbig,11000,"""Ab MFK"", ""Tuning""",5,Schaltgetriebe manuell
696,E 55 AMG Avantgarde,MERCEDES-BENZ,E 55 AMG,schwarz,Limousine,5439,Zuzwil,301 g/km,Occasion,null,12.6 l/100km,4,Hinterradantrieb,2,1998,Benzin,354,schwarz,63400,"""Ab MFK""",5,Automat
697,Turbo,BMW,2002,schwarz,Limousine,1990,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1974,Benzin,170,schwarz,134000,"""Ab MFK""",4,Schaltgetriebe manuell
698,750i,BMW,750,blau,Limousine,5379,Zuzwil,327 g/km,Occasion,null,14.2 l/100km,4,Hinterradantrieb,3,1998,Benzin,327,grau,60700,"""Ab MFK""",5,Automat sequentiell
699,Quattroporte 4.2 Sport GT,MASERATI,QUATTROPORTE,schwarz,Limousine,4244,Zuzwil,370 g/km,Occasion,G,15.8 l/100km,4,Hinterradantrieb,10,2006,Benzin,400,schwarz,24300,"""Ab MFK""",5,Automatisiertes Schaltgetriebe
700,C 63 AMG Avantgarde,MERCEDES-BENZ,C 63 AMG,schwarz,Kombi,6208,Zuzwil,316 g/km,Occasion,G,13.6 l/100km,5,Hinterradantrieb,1,2009,Benzin,457,schwarz,57400,"""Ab MFK""",5,Automat sequentiell
701,Brooklands,BENTLEY,BROOKLANDS,schwarz,Limousine,6761,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,12,1995,Benzin,250,beige,124900,"""Ab MFK""",5,Automat
702,Quattroporte 4.2 Sport GT,MASERATI,QUATTROPORTE,schwarz,Limousine,4244,Zuzwil,370 g/km,Occasion,G,15.8 l/100km,4,Hinterradantrieb,4,2008,Benzin,400,schwarz,58900,"""Ab MFK""",5,Automatisiertes Schaltgetriebe
703,E 63 AMG,MERCEDES-BENZ,E 63 AMG,schwarz,Limousine,6209,Zuzwil,295 g/km,Occasion,G,12.6 l/100km,4,Hinterradantrieb,6,2009,Benzin,525,schwarz,34500,"""Ab MFK"", ""Direkt-/Parallelimport""",5,Automatisiertes Schaltgetriebe
704,V8 Vantage 4.3,ASTON MARTIN,V8 Vantage,schwarz,Coupé,4282,Zuzwil,358 g/km,Occasion,G,15.0 l/100km,2,Hinterradantrieb,2,2007,Benzin,385,schwarz,35500,"""Ab MFK""",2,Schaltgetriebe manuell
705,B5 BiTurbo 4.4 V8,BMW-ALPINA,5 SERIES,schwarz,Limousine,4395,Zuzwil,252 g/km,Occasion,G,10.8 l/100km,4,Hinterradantrieb,6,2012,Benzin,507,schwarz,4950,"""Ab MFK""",5,Automat sequentiell
706,Cayenne Turbo,PORSCHE,CAYENNE,schwarz,SUV / Geländewagen,4806,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,5,Allrad,1,2011,Benzin,500,schwarz,39000,"""Ab MFK""",5,Automat sequentiell
707,XKR S/C,JAGUAR,XK,schwarz,Coupé,3996,Zuzwil,340 g/km,Occasion,G,12.6 l/100km,2,Hinterradantrieb,5,1999,Benzin,363,weiss,89666,"""Ab MFK""",4,Automat
708,SL 55 AMG,MERCEDES-BENZ,SL 55 AMG,schwarz,Cabriolet,5439,Zuzwil,324 g/km,Occasion,G,13.5 l/100km,2,Hinterradantrieb,3,2006,Benzin,517,schwarz,49000,"""Ab MFK""",2,Automat sequentiell
